PARENT_ID,SEGMENT_ID,SEGMENT_NO,SEGMENT_LENGTH_M,PARENT_LENGTH_M,PARENT_PROPORTION,DIST_TO_SENSOR_203,DIST_TO_SENSOR_215,DIST_TO_SENSOR_270,DIST_TO_SENSOR_452,DIST_TO_SENSOR_463,DIST_TO_SENSOR_500,DIST_TO_SENSOR_501,DIST_TO_SENSOR_672
77,77_28,28,33.07605432579809,1092.94235265156,0.03026331100222542,2228.1701550531016,2924.1842030089997,3357.8012285740697,819.7771736406316,4173.979373147106,276.8512293177356,900.6018996425441,917.9613759510424
77,77_29,29,8.629678814677764,1092.94235265156,0.007895822495799084,2238.9240613149573,2921.899315983565,3357.8012285740697,829.9031544583535,4206.664125566215,285.90594629807237,892.2925058100384,909.5325185789701
77,77_30,30,15.348873696175508,1092.94235265156,0.01404362605121669,2246.5747807217676,2921.899315983565,3363.2774789447767,820.3427150011445,4212.00550009679,276.7329557198962,879.9569302766847,894.3373303197575
77,77_31,31,55.59734105209367,1092.94235265156,0.05086941769363257,2261.809508507658,2895.046492934911,3376.5700656676,820.0478416181984,4216.72203546396,276.7329557198962,824.360115774599,845.8388528242151
77,77_32,32,9.302639079939542,1092.94235265156,0.008511555122162338,2302.430032963997,2892.632091318632,3399.116281677094,818.751690050638,4262.144410609652,283.0821316095557,815.3882105395445,836.865136703658
77,77_33,33,19.131894816418537,1092.94235265156,0.01750494412628729,2310.677589772297,2892.632091318632,3405.020238321074,803.6295641362233,4268.001064275014,270.83992424561853,804.8594163742707,819.6050478858874
77,77_34,34,23.500102406400583,1092.94235265156,0.02150168519811459,2329.312792908296,2900.9751400623754,3423.8683866035035,781.2269671898448,4248.5893988720445,247.39525163509123,804.8594163742707,816.405212675916
78,78_1,1,66.59984694569678,1243.1971571884167,0.05357142795943752,2649.501007617178,3223.919680935106,3815.3004785604558,402.33813267517655,4082.233097477872,192.89528872504908,825.0983950156192,606.6937825215126
78,78_2,2,57.05159494281125,1243.1971571884167,0.04589102751154748,2624.3228265885414,3247.227589916547,3807.9716015601134,379.0359793924162,4027.1287495002775,178.02047774052915,879.6045170449213,673.0498084062256
78,78_3,3,71.92252942240414,1243.1971571884167,0.05785287474841265,2615.730066326567,3284.279631028033,3807.9716015601134,339.2819499816393,3955.298169890611,178.02047774052915,934.8946270645952,728.4412738308594
78,78_4,4,25.375605263710376,1243.1971571884167,0.02041156957042856,2610.9708957839307,3346.0506749701954,3822.3886033073445,329.9326274388734,3929.9393748939856,204.9649826231417,1006.641872235012,790.7812576884647
78,78_5,5,37.80448736788247,1243.1971571884167,0.03040908447166992,2609.055970717379,3366.7422343484436,3825.60324274149,314.6996245756047,3892.2875619763827,217.5497730489247,1032.01251646281,814.1002927646294
78,78_6,6,37.161304586972385,1243.1971571884167,0.029891722621869128,2606.808117293934,3400.159303553508,3835.3612444488263,304.4683648962743,3855.208296741263,243.5310289228365,1069.6105208258741,847.0222494363197
78,78_7,7,34.81794022468083,1243.1971571884167,0.02800677271771133,2578.5698936465838,3432.6726835822883,3823.5813114591538,304.4683648962743,3831.787029190664,271.2187400183433,1106.661200387948,880.1745648814086
78,78_8,8,15.206204673699448,1243.1971571884167,0.01223153108561591,2574.343592759649,3423.7819103170204,3815.163207301713,327.37422105837436,3831.787029190664,258.36126280940084,1116.8741052582561,901.366945749331
78,78_9,9,65.44894988848394,1243.1971571884167,0.052645672096372574,2574.343592759649,3366.592432766701,3799.7895772385805,334.5046246368816,3845.8551112289906,206.64789064896985,1051.735490676167,843.7896389844783
78,78_10,10,23.121222403277557,1243.1971571884167,0.018598194397072085,2579.145074497588,3348.358763778187,3797.9852974933438,351.465416264762,3911.226685835105,193.1099275946805,1028.6405942949752,822.2418251989805
78,78_11,11,29.455533050434877,1243.1971571884167,0.023693372270131928,2569.470815379023,3319.124860662832,3775.679517841856,356.9065317077697,3934.2345005463126,164.39061351541443,1007.050426068316,811.0024254547208
78,78_12,12,77.53879619191044,1243.1971571884167,0.06237047417906764,2503.9471921962904,3255.5883332721905,3700.2945050972266,382.81575861647644,3957.037643825866,90.86938052722273,984.4804801255799,811.0024254547208
78,78_13,13,28.834577755226146,1243.1971571884167,0.023193889712905796,2488.109240592139,3227.363374270031,3677.395198870652,460.3542157020719,3988.392399906346,62.050223582232704,966.838913005404,817.1985357970834
78,78_14,14,13.436907774337726,1243.1971571884167,0.010808348214635801,2482.679569875263,3213.9424652980897,3668.180065561827,486.94103842335676,4009.8585774747717,48.73369284931749,957.200167989577,812.8627426367892
78,78_15,15,12.758552571855633,1243.1971571884167,0.010262694455246385,2478.6016968553154,3201.192602840427,3660.284504351276,498.48647949748585,4021.174309663777,36.45507004698268,947.39469752942,807.9031940854246
78,78_16,16,35.000329039830035,1243.1971571884167,0.028153482203085067,2466.4576994742224,3166.1922949017985,3637.7281538987727,508.9545430858161,4032.478205770707,10.11620755504777,921.7681962150581,796.4503462567322
