,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,CROWN_AREA_COMPLETE,Data Source,tree_group,CROWN_HEIGHT_interpolated
3612,26613033,Bedminster Road,357919.61,170513.01,357919.61,170513.01,357919.61,170513.01,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.05,10.0,Original,deciduous,3.0
3613,26613034,Bedminster Road,357812.52,170494.51,357812.52,170494.51,357812.52,170494.51,Tilia x europea,Lime,European lime,Tilia x europea,0.52,60.05,Original,deciduous,11.0
3614,26613035,Bedminster Road,357795.07,170491.49,357795.07,170491.49,357795.07,170491.49,Tilia x europea,Lime,European lime,Tilia x europea,0.5,60.05,Original,deciduous,9.0
3615,26613036,Bedminster Road,357776.91,170488.46,357776.91,170488.46,357776.91,170488.46,Tilia x europea,Lime,European lime,Tilia x europea,0.46,60.05,Original,deciduous,9.0
3616,26613037,Bedminster Road,357759.81,170485.55,357759.81,170485.55,357759.81,170485.55,Tilia x europea,Lime,European lime,Tilia x europea,0.38,60.05,Original,deciduous,8.0
3619,26613040,Bedminster Road,358086.3,170619.57,358086.3,170619.57,358086.3,170619.57,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.05,10.0,Original,deciduous,3.0
3624,26613045,Bedminster Road,357758.06,170495.89,357758.06,170495.89,357758.06,170495.89,Tilia x europea,Lime,European lime,Tilia x europea,0.4,60.05,Original,deciduous,11.0
3625,26613046,Bedminster Road,357794.3,170502.13,357794.3,170502.13,357794.3,170502.13,Tilia x europea,Lime,European lime,Tilia x europea,0.43,60.05,Original,deciduous,10.0
3626,26613047,Bedminster Road,357905.44,170521.74,357905.44,170521.74,357905.44,170521.74,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,10.0,Original,deciduous,3.0
3627,26613048,Bedminster Road,357922.3,170524.81,357922.3,170524.81,357922.3,170524.81,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.38,150.05,Original,deciduous,14.0
3628,26613049,Bedminster Road,357927.7,170541.44,357927.7,170541.44,357927.7,170541.44,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,10.0,Original,deciduous,3.0
3629,26613050,Bedminster Road,357932.15,170531.17,357932.15,170531.17,357932.15,170531.17,Acer platanoides,Maple,Norway maple,Acer platanoides,0.32,60.05,Original,deciduous,7.0
3630,26613051,Bedminster Road,357974.21,170552.14,357974.21,170552.14,357974.21,170552.14,Tilia x europea,Lime,European lime,Tilia x europea,0.52,60.05,Original,deciduous,10.0
3631,26613052,Bedminster Road,357991.48,170564.33,357991.48,170564.33,357991.48,170564.33,Tilia x europea,Lime,European lime,Tilia x europea,0.44,60.05,Original,deciduous,9.0
3632,26613053,Bedminster Road,358017.54,170582.66,358017.54,170582.66,358017.54,170582.66,Tilia x europea,Lime,European lime,Tilia x europea,0.51,60.05,Original,deciduous,9.0
3633,26613054,Bedminster Road,358032.59,170593.26,358032.59,170593.26,358032.59,170593.26,Tilia x europea,Lime,European lime,Tilia x europea,0.48,60.05,Original,deciduous,12.0
3634,26613055,Bedminster Road,358047.53,170603.53,358047.53,170603.53,358047.53,170603.53,Tilia x europea,Lime,European lime,Tilia x europea,0.48,60.05,Original,deciduous,10.0
3635,26613056,Bedminster Road,358062.89,170614.66,358062.89,170614.66,358062.89,170614.66,Tilia x europea,Lime,European lime,Tilia x europea,0.5700000000000001,60.05,Original,deciduous,12.0
3636,26613057,Bedminster Road,358092.56,170635.0,358092.56,170635.0,358092.56,170635.0,Tilia x europea,Lime,European lime,Tilia x europea,0.54,60.05,Original,deciduous,12.0
3637,26613058,Bedminster Road,358206.57,170722.41,358206.57,170722.41,358206.57,170722.41,Tilia x europea,Lime,European lime,Tilia x europea,0.52,60.05,Original,deciduous,9.0
3638,26613059,Bedminster Road,358262.08,170770.94,358262.08,170770.94,358262.08,170770.94,Tilia x europea,Lime,European lime,Tilia x europea,0.48,60.05,Original,deciduous,11.0
3639,26613060,Bedminster Road,358221.82,170734.7,358221.82,170734.7,358221.82,170734.7,Tilia x europea,Lime,European lime,Tilia x europea,0.4,60.05,Original,deciduous,9.0
3640,26613061,Bedminster Road,358236.65,170747.73,358236.65,170747.73,358236.65,170747.73,Tilia x europea,Lime,European lime,Tilia x europea,0.43,60.05,Original,deciduous,9.0
3641,26613062,Bedminster Road,358248.21,170758.33,358248.21,170758.33,358248.21,170758.33,Tilia x europea,Lime,European lime,Tilia x europea,0.45,60.05,Original,deciduous,8.0
3703,26613124,Grosvenor Road,359560.24,174026.1,359560.24,174026.1,359560.24,174026.1,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.31,60.05,Original,deciduous,7.0
3706,26613127,Grosvenor Road,359589.03,174051.32,359589.03,174051.32,359589.03,174051.32,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.08,10.0,Original,deciduous,4.0
3707,26613128,Grosvenor Road,359574.94,174038.81,359574.94,174038.81,359574.94,174038.81,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.38,60.05,Original,deciduous,9.0
3708,26613129,Grosvenor Road,359569.38,174033.84,359569.38,174033.84,359569.38,174033.84,Crataegus monogyna,Hawthorn,Common hawthorn,Crataegus monogyna,0.21,10.0,Original,deciduous,4.0
3709,26613130,Grosvenor Road,359543.88,174011.18,359543.88,174011.18,359543.88,174011.18,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.09,60.05,Original,deciduous,4.0
3710,26613131,Grosvenor Road,359529.47,173994.53,359529.47,173994.53,359529.47,173994.53,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.1,60.05,Original,deciduous,4.0
3711,26613132,Grosvenor Road,359534.44,174001.28,359534.44,174001.28,359534.44,174001.28,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.1,60.05,Original,deciduous,4.0
3712,26613133,Grosvenor Road,359520.14,173985.8,359520.14,173985.8,359520.14,173985.8,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.08,10.0,Original,deciduous,4.0
3867,26613290,Channons Hill,362930.22,175834.3,362930.22,175834.3,362930.22,175834.3,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.63,285.933966964309,Original,deciduous,12.0
3868,26613291,Channons Hill,362925.75,175831.44,362925.75,175831.44,362925.75,175831.44,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.73,354.4432860877336,Original,deciduous,12.0
3869,26613292,Channons Hill,362919.06,175827.37,362919.06,175827.37,362919.06,175827.37,Sambucus nigra,Elder,Elder,Sambucus nigra,0.2483333333333333,36.1595549228223,Imputed,deciduous,4.0
3870,26613293,Channons Hill,362913.55,175824.4,362913.55,175824.4,362913.55,175824.4,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.3592134831460674,101.5422573046714,Imputed,deciduous,6.0
3871,26613294,Channons Hill,362898.67,175812.16,362898.67,175812.16,362898.67,175812.16,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.3592134831460674,101.5422573046714,Imputed,deciduous,9.831070876401268
3876,26613299,Channons Hill,362907.81,175819.98,362907.81,175819.98,362907.81,175819.98,Acer platanoides,Maple,Norway maple,Acer platanoides,0.1,8.258969412236617,Original,deciduous,5.0
4762,26614198,Justice Road,363044.65,175456.66,363044.65,175456.66,363044.65,175456.66,Tilia x europea,Lime,European lime,Tilia x europea,0.41,60.05,Original,deciduous,7.0
4763,26614199,Justice Road,363035.34,175443.46,363035.34,175443.46,363035.34,175443.46,Tilia x europea,Lime,European lime,Tilia x europea,0.37,60.05,Original,deciduous,8.0
4764,26614200,Justice Road,363023.91,175437.95,363023.91,175437.95,363023.91,175437.95,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.05,10.0,Original,deciduous,3.0
4765,26614201,Justice Road,362976.48,175424.83,362976.48,175424.83,362976.48,175424.83,Tilia x europea,Lime,European lime,Tilia x europea,0.32,60.05,Original,deciduous,8.0
4983,26614424,Penn Street,359360.42,173341.29,359360.42,173341.29,359360.42,173341.29,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4984,26614425,Penn Street,359369.38,173343.6,359369.38,173343.6,359369.38,173343.6,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4985,26614426,Penn Street,359340.58,173409.29,359340.58,173409.29,359340.58,173409.29,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4986,26614427,Penn Street,359307.5,173466.17,359307.5,173466.17,359307.5,173466.17,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4987,26614428,Penn Street,359370.58,173313.8,359370.58,173313.8,359370.58,173313.8,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4988,26614429,Penn Street,359374.27,173329.11,359374.27,173329.11,359374.27,173329.11,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4989,26614430,Penn Street,359320.3,173438.85,359320.3,173438.85,359320.3,173438.85,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4990,26614431,Penn Street,359367.46,173321.35,359367.46,173321.35,359367.46,173321.35,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
4992,26614433,Penn Street,359314.92,173452.04,359314.92,173452.04,359314.92,173452.04,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,14.846957440687154,Imputed,deciduous,3.9995793143419904
5061,26614505,Imperial Walk,360962.4,170294.69,360962.4,170294.69,360962.4,170294.69,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.12,60.05,Original,deciduous,6.0
5063,26614507,Imperial Walk,360918.88,170235.69,360918.88,170235.69,360918.88,170235.69,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.12,10.0,Original,deciduous,3.0
5064,26614508,Imperial Walk,360927.06,170246.93,360927.06,170246.93,360927.06,170246.93,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.12,10.0,Original,deciduous,1.0
5065,26614509,Imperial Walk,360926.78,170247.13,360926.78,170247.13,360926.78,170247.13,Prunus Snow Goose,Cherry,Cherry,Prunus Snow Goose,0.06,3.5711940284285486,Original,deciduous,2.494782431116117
5066,26614510,Imperial Walk,360935.5,170259.52,360935.5,170259.52,360935.5,170259.52,Prunus Snow Goose,Cherry,Cherry,Prunus Snow Goose,0.06,3.5711940284285486,Original,deciduous,2.494782431116117
5067,26614511,Imperial Walk,360969.9,170305.04,360969.9,170305.04,360969.9,170305.04,Prunus shimidsu sakura,Cherry,Cherry,Prunus shimidsu sakura,0.09,10.0,Original,deciduous,5.0
5074,26614518,Imperial Walk,360974.72,170292.4,360974.72,170292.4,360974.72,170292.4,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.32,60.05,Original,deciduous,5.0
5075,26614519,Imperial Walk,360962.72,170276.05,360962.72,170276.05,360962.72,170276.05,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.33,10.0,Original,deciduous,5.0
5076,26614520,Imperial Walk,360952.78,170263.17,360952.78,170263.17,360952.78,170263.17,Prunus shimidsu sakura,Cherry,Cherry,Prunus shimidsu sakura,0.06,10.0,Original,deciduous,3.0
5077,26614521,Imperial Walk,360931.54,170234.38,360931.54,170234.38,360931.54,170234.38,Prunus sargentii,Cherry,Sargent's cherry,Prunus sargentii,0.29,60.05,Original,deciduous,13.0
5078,26614522,Imperial Walk,360945.13,170251.23,360945.13,170251.23,360945.13,170251.23,Sorbus aucuparia,Rowan,Rowan,Sorbus aucuparia,0.08,10.0,Original,deciduous,2.0
5079,26614523,Imperial Walk,360986.77,170308.62,360986.77,170308.62,360986.77,170308.62,Prunus shimidsu sakura,Cherry,Cherry,Prunus shimidsu sakura,0.06,3.5711940284285486,Original,deciduous,2.494782431116117
5291,26614743,Colston Street,358614.51,173312.57,358614.51,173312.57,358614.51,173312.57,Alnus cordata,Alder,Italian alder,Alnus cordata,0.35,150.05,Original,deciduous,11.0
5433,26614887,Bond Street,359334.69,173550.08,359334.69,173550.08,359334.69,173550.08,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,4.0
5436,26614890,Bond Street,359358.03,173543.34,359358.03,173543.34,359358.03,173543.34,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,4.0
5437,26614891,Bond Street,359349.86,173545.85,359349.86,173545.85,359349.86,173545.85,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,4.0
5438,26614892,Bond Street,359342.93,173547.98,359342.93,173547.98,359342.93,173547.98,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,4.0
5439,26614893,Bond Street,359327.69,173552.11,359327.69,173552.11,359327.69,173552.11,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,4.0
5440,26614894,Bond Street,359319.21,173554.85,359319.21,173554.85,359319.21,173554.85,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,4.0
5450,26614904,Bond Street,359274.61,173525.31,359274.61,173525.31,359274.61,173525.31,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,10.0,Original,deciduous,5.0
5451,26614905,Bond Street,359318.16,173519.35,359318.16,173519.35,359318.16,173519.35,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.44,150.05,Original,deciduous,15.0
5452,26614906,Bond Street,359501.87,173166.18,359501.87,173166.18,359501.87,173166.18,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.79,528.55,Original,deciduous,21.0
5453,26614907,Bond Street,359480.1,173232.27,359480.1,173232.27,359480.1,173232.27,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.43,60.05,Original,deciduous,15.0
5454,26614908,Bond Street,359457.18,173294.92,359457.18,173294.92,359457.18,173294.92,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.06,2.397266962874267,Original,deciduous,0.3271908563679293
5455,26614909,Bond Street,359483.55,173215.99,359483.55,173215.99,359483.55,173215.99,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.68,275.05,Original,deciduous,17.0
