,Unnamed: 0,OBJECTID,SITE_NAME,X,Y,EXTENT_EASTING_1,EXTENT_NORTHING_1,EXTENT_EASTING_2,EXTENT_NORTHING_2,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,CROWN_WIDTH,CROWN_HEIGHT,DBH,PLANTING_SEASON,CROWN_AREA_MIDPOINT,CROWN_AREA_COMPLETE,Data Source
41671,41671,26651462,Stoke Park Estate,360631.8,175939.08,360631.8,175939.08,360631.8,175939.08,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41672,41672,26651463,Stoke Park Estate,361717.53,177360.16,361717.53,177360.16,361717.53,177360.16,Aesculus hippocastanum,,,Aesculus hippocastanum,,,0.305455333429082,Not Applicable,,79.50364575536493,Imputed
41673,41673,26651464,Stoke Park Estate,360740.2,175917.29,360740.2,175917.29,360740.2,175917.29,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41674,41674,26651465,Stoke Park Estate,360570.82,175874.8,360570.82,175874.8,360570.82,175874.8,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41675,41675,26651466,Stoke Park Estate,360648.66,175900.58,360648.66,175900.58,360648.66,175900.58,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41676,41676,26651467,Stoke Park Estate,360660.41,175951.61,360660.41,175951.61,360660.41,175951.61,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41677,41677,26651468,Stoke Park Estate,360754.13,175931.0,360754.13,175931.0,360754.13,175931.0,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41678,41678,26651469,Stoke Park Estate,360639.73,175945.61,360639.73,175945.61,360639.73,175945.61,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41679,41679,26651470,Stoke Park Estate,360752.47,175966.21,360752.47,175966.21,360752.47,175966.21,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41680,41680,26651471,Stoke Park Estate,360742.37,175929.77,360742.37,175929.77,360742.37,175929.77,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41681,41681,26651472,Stoke Park Estate,360700.21,175933.23,360700.21,175933.23,360700.21,175933.23,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41682,41682,26651473,Stoke Park Estate,360967.9,176094.22,360967.9,176094.22,360967.9,176094.22,Mixed Species Group,,,Mixed Species Group,14.0,20.0,0.5,Not Applicable,,170.5333257546095,Original
41683,41683,26651474,Stoke Park Estate,360698.75,175919.23,360698.75,175919.23,360698.75,175919.23,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41684,41684,26651475,Stoke Park Estate,360758.9,175958.14,360758.9,175958.14,360758.9,175958.14,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41685,41685,26651476,Stoke Park Estate,360740.27,175996.5,360740.27,175996.5,360740.27,175996.5,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41686,41686,26651477,Stoke Park Estate,360703.53,175962.63,360703.53,175962.63,360703.53,175962.63,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41687,41687,26651478,Stoke Park Estate,360733.71,175990.17,360733.71,175990.17,360733.71,175990.17,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41688,41688,26651479,Stoke Park Estate,360712.12,175983.74,360712.12,175983.74,360712.12,175983.74,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41689,41689,26651480,Stoke Park Estate,360717.79,175976.07,360717.79,175976.07,360717.79,175976.07,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41690,41690,26651481,Stoke Park Estate,360691.05,175991.94,360691.05,175991.94,360691.05,175991.94,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41691,41691,26651482,Stoke Park Estate,360695.05,175955.21,360695.05,175955.21,360695.05,175955.21,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41692,41692,26651483,Stoke Park Estate,360702.07,175947.19,360702.07,175947.19,360702.07,175947.19,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41693,41693,26651484,Stoke Park Estate,360669.64,175972.08,360669.64,175972.08,360669.64,175972.08,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41694,41694,26651485,Stoke Park Estate,360667.25,175943.57,360667.25,175943.57,360667.25,175943.57,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41695,41695,26651486,Stoke Park Estate,360653.66,175958.88,360653.66,175958.88,360653.66,175958.88,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41696,41696,26651487,Stoke Park Estate,360665.06,175929.09,360665.06,175929.09,360665.06,175929.09,Pyrus - Species Unknown,,,Pyrus - Species Unknown,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41697,41697,26651488,Stoke Park Estate,360651.82,175930.21,360651.82,175930.21,360651.82,175930.21,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41698,41698,26651489,Stoke Park Estate,360677.32,175913.3,360677.32,175913.3,360677.32,175913.3,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41699,41699,26651490,Stoke Park Estate,360684.91,175920.33,360684.91,175920.33,360684.91,175920.33,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41700,41700,26651491,Stoke Park Estate,360628.22,175911.63,360628.22,175911.63,360628.22,175911.63,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41701,41701,26651492,Stoke Park Estate,360606.93,175891.07,360606.93,175891.07,360606.93,175891.07,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41702,41702,26651493,Stoke Park Estate,360605.02,175862.36,360605.02,175862.36,360605.02,175862.36,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41703,41703,26651494,Stoke Park Estate,360571.94,175886.08,360571.94,175886.08,360571.94,175886.08,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41704,41704,26651495,Stoke Park Estate,360578.46,175878.66,360578.46,175878.66,360578.46,175878.66,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41705,41705,26651496,Stoke Park Estate,360591.73,175862.93,360591.73,175862.93,360591.73,175862.93,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41706,41706,26651497,Stoke Park Estate,360594.26,175904.69,360594.26,175904.69,360594.26,175904.69,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41707,41707,26651498,Stoke Park Estate,360599.94,175884.05,360599.94,175884.05,360599.94,175884.05,Malus domestica,,,Malus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41708,41708,26651499,Stoke Park Estate,360723.94,175968.04,360723.94,175968.04,360723.94,175968.04,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41709,41709,26651500,Stoke Park Estate,360730.3,175946.1,360730.3,175946.1,360730.3,175946.1,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
41710,41710,26651501,Stoke Park Estate,360778.55,175949.71,360778.55,175949.71,360778.55,175949.71,Prunus domestica,,,Prunus domestica,,,0.06,Planting Season 18/19,,2.8045902645908924,Original
