,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_VOLUME
3613,26613034,357812.52,170494.51,Tilia x europea,Lime,European lime,Tilia x europea,0.52,deciduous,440.3666666666666
3614,26613035,357795.07,170491.49,Tilia x europea,Lime,European lime,Tilia x europea,0.5,deciduous,360.29999999999995
3615,26613036,357776.91,170488.46,Tilia x europea,Lime,European lime,Tilia x europea,0.46,deciduous,360.29999999999995
3616,26613037,357759.81,170485.55,Tilia x europea,Lime,European lime,Tilia x europea,0.38,deciduous,320.26666666666665
3619,26613040,358086.3,170619.57,Tilia cordata,Lime,Small-leaved lime,Tilia cordata,0.05,deciduous,20.0
3624,26613045,357758.06,170495.89,Tilia x europea,Lime,European lime,Tilia x europea,0.4,deciduous,440.3666666666666
3625,26613046,357794.3,170502.13,Tilia x europea,Lime,European lime,Tilia x europea,0.43,deciduous,400.3333333333333
3626,26613047,357905.44,170521.74,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,deciduous,20.0
3627,26613048,357922.3,170524.81,Acer pseudoplatanus,Sycamore,Sycamore,Acer pseudoplatanus,0.38,deciduous,1400.4666666666667
3628,26613049,357927.7,170541.44,Acer platanoides,Maple,Norway maple,Acer platanoides,0.06,deciduous,20.0
3629,26613050,357932.15,170531.17,Acer platanoides,Maple,Norway maple,Acer platanoides,0.32,deciduous,280.2333333333333
3630,26613051,357974.21,170552.14,Tilia x europea,Lime,European lime,Tilia x europea,0.52,deciduous,400.3333333333333
3631,26613052,357991.48,170564.33,Tilia x europea,Lime,European lime,Tilia x europea,0.44,deciduous,360.29999999999995
3632,26613053,358017.54,170582.66,Tilia x europea,Lime,European lime,Tilia x europea,0.51,deciduous,360.29999999999995
3633,26613054,358032.59,170593.26,Tilia x europea,Lime,European lime,Tilia x europea,0.48,deciduous,480.3999999999999
3634,26613055,358047.53,170603.53,Tilia x europea,Lime,European lime,Tilia x europea,0.48,deciduous,400.3333333333333
3635,26613056,358062.89,170614.66,Tilia x europea,Lime,European lime,Tilia x europea,0.5700000000000001,deciduous,480.3999999999999
3636,26613057,358092.56,170635.0,Tilia x europea,Lime,European lime,Tilia x europea,0.54,deciduous,480.3999999999999
3637,26613058,358206.57,170722.41,Tilia x europea,Lime,European lime,Tilia x europea,0.52,deciduous,360.29999999999995
3638,26613059,358262.08,170770.94,Tilia x europea,Lime,European lime,Tilia x europea,0.48,deciduous,440.3666666666666
3639,26613060,358221.82,170734.7,Tilia x europea,Lime,European lime,Tilia x europea,0.4,deciduous,360.29999999999995
3640,26613061,358236.65,170747.73,Tilia x europea,Lime,European lime,Tilia x europea,0.43,deciduous,360.29999999999995
3641,26613062,358248.21,170758.33,Tilia x europea,Lime,European lime,Tilia x europea,0.45,deciduous,320.26666666666665
3703,26613124,359560.24,174026.1,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.31,deciduous,280.2333333333333
3706,26613127,359589.03,174051.32,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.08,deciduous,26.666666666666664
3707,26613128,359574.94,174038.81,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.38,deciduous,360.29999999999995
3708,26613129,359569.38,174033.84,Crataegus monogyna,Hawthorn,Common hawthorn,Crataegus monogyna,0.21,deciduous,26.666666666666664
3709,26613130,359543.88,174011.18,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.09,deciduous,160.13333333333333
3710,26613131,359529.47,173994.53,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.1,deciduous,160.13333333333333
3711,26613132,359534.44,174001.28,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.1,deciduous,160.13333333333333
3712,26613133,359520.14,173985.8,Castanea sativa,Sweet Chestnut,Sweet chestnut,Castanea sativa,0.08,deciduous,26.666666666666664
3867,26613290,362930.22,175834.3,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.63,deciduous,2287.471735714472
3868,26613291,362925.75,175831.44,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.73,deciduous,2835.5462887018684
3869,26613292,362919.06,175827.37,Sambucus nigra,Elder,Elder,Sambucus nigra,0.2483333333333333,deciduous,96.4254797941928
3870,26613293,362913.55,175824.4,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.3592134831460674,deciduous,406.1690292186855
3871,26613294,362898.67,175812.16,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.3592134831460674,deciduous,665.5127523413325
3876,26613299,362907.81,175819.98,Acer platanoides,Maple,Norway maple,Acer platanoides,0.1,deciduous,27.529898040788723
4762,26614198,363044.65,175456.66,Tilia x europea,Lime,European lime,Tilia x europea,0.41,deciduous,280.2333333333333
4763,26614199,363035.34,175443.46,Tilia x europea,Lime,European lime,Tilia x europea,0.37,deciduous,320.26666666666665
4764,26614200,363023.91,175437.95,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.05,deciduous,20.0
4765,26614201,362976.48,175424.83,Tilia x europea,Lime,European lime,Tilia x europea,0.32,deciduous,320.26666666666665
4983,26614424,359360.42,173341.29,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4984,26614425,359369.38,173343.6,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4985,26614426,359340.58,173409.29,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4986,26614427,359307.5,173466.17,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4987,26614428,359370.58,173313.8,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4988,26614429,359374.27,173329.11,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4989,26614430,359320.3,173438.85,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4990,26614431,359367.46,173321.35,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
4992,26614433,359314.92,173452.04,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.1080555555555555,deciduous,39.587722573792156
5061,26614505,360962.4,170294.69,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.12,deciduous,240.19999999999996
5063,26614507,360918.88,170235.69,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.12,deciduous,20.0
5064,26614508,360927.06,170246.93,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.12,deciduous,6.666666666666666
5065,26614509,360926.78,170247.13,Prunus Snow Goose,Cherry,Cherry,Prunus Snow Goose,0.06,deciduous,5.939568080153556
5066,26614510,360935.5,170259.52,Prunus Snow Goose,Cherry,Cherry,Prunus Snow Goose,0.06,deciduous,5.939568080153556
5067,26614511,360969.9,170305.04,Prunus shimidsu sakura,Cherry,Cherry,Prunus shimidsu sakura,0.09,deciduous,33.33333333333333
5074,26614518,360974.72,170292.4,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.32,deciduous,200.16666666666666
5075,26614519,360962.72,170276.05,Prunus - Species Unknown,Cherry,Unidentified cherry,Prunus - Species Unknown,0.33,deciduous,33.33333333333333
5076,26614520,360952.78,170263.17,Prunus shimidsu sakura,Cherry,Cherry,Prunus shimidsu sakura,0.06,deciduous,20.0
5077,26614521,360931.54,170234.38,Prunus sargentii,Cherry,Sargent's cherry,Prunus sargentii,0.29,deciduous,520.4333333333333
5078,26614522,360945.13,170251.23,Sorbus aucuparia,Rowan,Rowan,Sorbus aucuparia,0.08,deciduous,13.333333333333332
5079,26614523,360986.77,170308.62,Prunus shimidsu sakura,Cherry,Cherry,Prunus shimidsu sakura,0.06,deciduous,5.939568080153556
5291,26614743,358614.51,173312.57,Alnus cordata,Alder,Italian alder,Alnus cordata,0.35,deciduous,1100.3666666666668
5433,26614887,359334.69,173550.08,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,26.666666666666664
5436,26614890,359358.03,173543.34,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,26.666666666666664
5437,26614891,359349.86,173545.85,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,26.666666666666664
5438,26614892,359342.93,173547.98,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,26.666666666666664
5439,26614893,359327.69,173552.11,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,26.666666666666664
5440,26614894,359319.21,173554.85,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,26.666666666666664
5450,26614904,359274.61,173525.31,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.08,deciduous,33.33333333333333
5451,26614905,359318.16,173519.35,Acer platanoides cv,Maple,Norway maple cultivar,Acer platanoides cv,0.44,deciduous,1500.5
5452,26614906,359501.87,173166.18,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.79,deciduous,7399.699999999999
5453,26614907,359480.1,173232.27,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.43,deciduous,600.5
5454,26614908,359457.18,173294.92,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.06,deciduous,0.5229092203502509
5455,26614909,359483.55,173215.99,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.68,deciduous,3117.2333333333336
5456,26614910,359343.35,173519.64,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.25,deciduous,242.90744111476238
5457,26614911,359544.31,173180.6,Fraxinus excelsior,Ash,Common ash,Fraxinus excelsior,0.64,deciduous,1300.4333333333334
5458,26614912,359529.88,173544.06,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.37,deciduous,571.1077646350903
5459,26614913,359334.25,173521.05,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.15,deciduous,89.10118943541804
5460,26614914,359365.97,173516.46,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.21,deciduous,172.87710188257702
5461,26614915,359382.97,173513.99,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.26,deciduous,262.10380693465487
5462,26614916,359418.75,173512.81,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.21,deciduous,153.66853500673514
5463,26614917,359428.14,173514.07,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.21,deciduous,153.66853500673514
5464,26614918,359433.43,173515.81,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.17,deciduous,101.42392449111573
5465,26614919,359443.25,173518.18,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.17,deciduous,101.42392449111573
5466,26614920,359451.12,173521.12,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.17,deciduous,101.42392449111573
5467,26614921,359461.86,173526.26,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.17,deciduous,114.1019150525052
5468,26614922,359465.66,173348.28,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.25,deciduous,242.90744111476238
5469,26614923,359519.39,173456.18,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.25,deciduous,242.90744111476238
5470,26614924,359521.66,173463.28,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.25,deciduous,242.90744111476238
5471,26614925,359533.3,173530.02,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.37,deciduous,571.1077646350903
5472,26614926,359537.99,173517.3,Platanus x acerifolia,Plane,London plane,Platanus x acerifolia,0.37,deciduous,571.1077646350903
