,Unnamed: 0,OBJECTID,X,Y,LATIN_NAME,COMMON_NAME,FULL_COMMON_NAME,TREE_SPECIES,DBH,tree_group,CROWN_AREA_COMPLETE,CROWN_VOLUME,DISTANCE_TO_SENSOR
1065,41323,26651114,361067.96,171368.39,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,226.18247876435936
1066,41324,26651115,361076.54,171365.07,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,225.0933062087841
1067,41325,26651116,361075.83,171378.07,Juglans nigra,Walnut,Black walnut,Juglans nigra,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,213.90744213326016
1068,41326,26651117,361103.52,171412.17,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,170.91208061454662
1069,41327,26651118,361165.89,171371.66,Paulownia tomentosa,Foxglove Tree,Foxglove tree,Paulownia tomentosa,0.0670689655172413,deciduous,3.18364323351618,3.762965312767668,194.716942508859
1070,41328,26651119,361089.42,171382.74,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,203.54518908587917
1071,41329,26651120,361196.91,171424.74,Liquidambar styraciflua ’Worp',American sweetgum,American sweetgum,Liquidambar styraciflua ’Worp',0.305455333429082,deciduous,2.80459,2.9041043321066664,142.52008875945054
1072,41335,26651126,361031.06,171325.54,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,281.8020141872601
1073,41336,26651127,361056.34,171338.01,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,258.4194181945109
1074,41337,26651128,361083.44,171387.04,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,202.40621334335722
1075,41338,26651129,361187.06,171388.23,Ginkgo biloba,Gingko,Maidenhair tree,Ginkgo biloba,0.06,deciduous,1.270951453170266,2.1676543620783213,178.00072050414917
1076,41339,26651130,361013.09,171456.2,Parrotia persica,Ironwood,Persian ironwood,Parrotia persica,0.06,deciduous,2.8045902645908924,2.861496001911473,198.11952982982015
1077,41397,26651188,361065.99,171351.38,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,242.09086000921243
1078,41398,26651189,361040.75,171319.91,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,281.77624207870736
1079,41399,26651190,361083.19,171373.37,Juglans regia,Walnut,Common walnut,Juglans regia,0.2323333333333333,deciduous,52.4840971378605,214.213907635376,214.69805075966886
